app;count;total devices
org.thoughtcrime.securesms;1;1
org.telegram.messenger;1;1
com.whatsapp;1;1
com.brave.browser;1;1
com.android.chrome;1;1
com.sec.android.app.sbrowser;1;1
com.miHoYo.GenshinImpact;1;1
com.kiloo.subwaysurf;1;1
com.innersloth.spacemafia;1;1
com.einnovation.temu;1;1
com.alibaba.aliexpresshd;1;1
com.tradera;1;1
net.axcrypt.axcrypt2x;1;1
com.brakefield.painter;1;1
com.eyefilter.nightmode.bluelightfilter;1;1
com.microsoft.emmx;1;1
com.opera.browser;1;1
com.gamemaker5.idlemafia;1;1
com.duckduckgo.mobile.android;1;1
com.amazon.mShop.android.shopping;1;1
com.zzkko;1;1
com.hm.goe;1;1
com.contextlogic.wish;1;1
com.gamemaker5.idlemafia;1;1
com.supercell.clashofclans;1;1
com.rovio.baba;1;1
com.roblox.client;1;1
net.openvpn.openvpn;1;1
