app;count;total devices
com.skype.raider;10;79
com.einnovation.temu;10;79
org.telegram.messenger;10;79
com.viaplay.android;10;79
com.vaesttrafik.vaesttrafik;10;79
com.disney.disneyplus;10;79
com.google.android.apps.docs.editors.docs;10;79
se.svt.android.svtplay;10;79
com.myklarnamobile;11;79
com.skovik.mobile;11;79
com.zhiliaoapp.musically;11;79
com.twitter.android;12;79
com.shazam.android;12;79
com.ubercab;12;79
com.airbnb.android;12;79
com.revolut.revolut;12;79
com.envoy.app;13;79
com.snapchat.android;14;79
se.hemnet.android;14;79
se.avanzabank.androidapplikation;14;79
ee.mtakso.client;15;79
com.google.android.apps.authenticator2;16;79
com.google.android.apps.docs;18;79
com.google.android.googlequicksearchbox;18;79
com.sl.SLBiljetter;19;79
com.netflix.mediaclient;22;79
com.google.android.apps.tachyon;27;79
se.bankgirot.swish;27;79
com.kivra.Kivra;31;79
com.envoy.rooms;34;79
com.facebook.orca;34;79
com.facebook.katana;35;79
com.whatsapp;37;79
com.google.android.apps.maps;40;79
com.bankid.bus;40;79
com.google.android.youtube;41;79
com.instagram.android;43;79
com.linkedin.android;44;79
com.android.chrome;46;79
com.spotify.music;50;79
com.okta.android.auth;65;79
com.google.android.calendar;67;79
com.Slack;70;79
com.google.android.gm;79;79
